group,kind,path,exists,size_or_files,why_as_recorded,generator,contract_tests,cited_by
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a038_reread_20260919/STAIRS10_TIME_PROFILE.csv,YES,8894,"열: arm,seed,case,step_bin_start,step_bin_end,height_rel_median,height_rel_mean,proj_grav_z_mean,speed_xy_mean,terrain_z_mea",go2_a038_reread.py;go2_claim_check.py,,GO2_A038_REREAD_20260919.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py;go2_claim_check.py
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_a041_20260921,YES,10,"인용 문서: GO2_G_A041_READOUT.md, GO2_REFERENCE_COMPASS.md",,,GO2_G_A041_READOUT.md;GO2_REFERENCE_COMPASS.md
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a041_20260921/FALL_CHANNEL_PER_ENV.csv,YES,39632,"열: arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuo",go2_a038_reread.py,,GO2_A038_REREAD_20260919.md;GO2_G_A041_READOUT.md;GO2_REFERENCE_COMPASS.md;README.md;go2_a038_reread.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_a041_20260921/FALL_CHANNEL_ROLLUP.csv,YES,1073,"열: arm,seed,case,n_envs,envs_fall_height_only,envs_fall_tilt_only,envs_fall_both_channels,envs_fall_either,max_terrain_z_sp",build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py,,ARTIFACT_MANAGEMENT.md;GO2_A038_REREAD_20260919.md;GO2_G_A041_READOUT.md;GO2_REFERENCE_COMPASS.md;README.md;build_go2_a033_reward_package.py;go2_a038_reread.py;go2_claim_check.py
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_axis_bottleneck_20260919,YES,1,"인용 문서: GO2_AXIS_BOTTLENECK.md, GO2_REFERENCE_COMPASS.md",go2_axis_bottleneck.py;go2_claim_check.py,test_go2_plan_assessment_contract.py,GO2_AXIS_BOTTLENECK.md;GO2_REFERENCE_COMPASS.md;go2_axis_bottleneck.py;go2_claim_check.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_axis_bottleneck_20260919/AXIS_BOTTLENECK.csv,YES,12917,"열: section,axis,case,seed,survival_v1,survival_v2,survival,xy_rmse,tracking_xy,progress_m,expected_m,completion,tracking,pr",go2_axis_bottleneck.py;go2_claim_check.py,test_go2_axis_bottleneck_contract.py;test_go2_claim_check_contract.py;test_go2_plan_assessment_contract.py,GO2_AXIS_BOTTLENECK.md;GO2_REFERENCE_COMPASS.md;go2_axis_bottleneck.py;go2_claim_check.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918,YES,8,Isaac Lab v2.3.1 원문 6개 + URL·SHA256,go2_curriculum_facts.py;go2_role_regression.py,,GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_REWARD_EVIDENCE_MASTER.md;GO2_ROLE_REGRESSION_CASES.md;go2-auditor.md;go2-planner.md;go2_curriculum_facts.py;go2_role_regression.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_tasks_go2_agents_rsl_rl_ppo_cfg.py,YES,1494,UnitreeGo2RoughPPORunnerCfg.max_iterations = 1500 (flat 300),go2_curriculum_facts.py,,GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2_curriculum_facts.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_tasks_locomotion_velocity_mdp_curriculums.py,YES,2414,terrain_levels_vel: 이동 거리 > size[0]/2 면 승급,go2_curriculum_facts.py,,GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2_curriculum_facts.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_terrains_config_rough.py,YES,1830,ROUGH_TERRAINS_CFG: num_rows 10·num_cols 20,go2_curriculum_facts.py,,GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2_curriculum_facts.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_terrains_terrain_generator.py,YES,19401,difficulty = (sub_row + uniform()) / num_rows — 행 번호 → 난이도,go2_curriculum_facts.py,,GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2_curriculum_facts.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_terrains_terrain_importer.py,YES,16702,지형 커리큘럼 승급·강등과 마지막 레벨 도달 로봇의 무작위 재배치(314-321행),go2_curriculum_facts.py,test_go2_curriculum_facts_contract.py,GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2-planner.md;go2_curriculum_facts.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/isaaclab_terrains_trimesh_mesh_terrains.py,YES,39231,step_height = lo + difficulty*(hi-lo) — 난이도 → 실제 계단 높이,,,GO2_REFERENCE_COMPASS.md;go2-auditor.md
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/CURRICULUM_FACTS.csv,YES,3321,Isaac Lab 원문을 파싱해 뽑은 커리큘럼 사실표(행별 계단 높이·학습 길이·평균 레벨 한계),go2_curriculum_facts.py;go2_reference_compass.py;go2_role_regression.py,test_go2_curriculum_facts_contract.py,GO2_REFERENCE_COMPASS.md;GO2_REWARD_EVIDENCE_MASTER.md;GO2_ROLE_REGRESSION_CASES.md;go2_curriculum_facts.py;go2_reference_compass.py;go2_role_regression.py
외부 기준 원문,원문,workspace/training/quadruped/reports/evidence/go2_curriculum_source_20260918/SOURCES.csv,YES,2003,보관한 외부 원문의 URL·SHA256 목록 — 원문이 진짜인지 여기서 대조한다,go2_curriculum_facts.py;go2_reference_compass.py;go2_role_regression.py;go2_tuning_base_data.py,test_go2_canonical_consistency.py;test_go2_curriculum_facts_contract.py,GO2_PROJECT_STATE.md;GO2_REFERENCE_COMPASS.md;GO2_REWARD_EVIDENCE_MASTER.md;GO2_ROLE_REGRESSION_CASES.md;GO2_TUNING_BASE_DATA.md;go2-auditor.md;go2-planner.md;go2_curriculum_facts.py;go2_reference_com
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_default_vs_pilot_260901,YES,6,"인용 문서: ARTIFACT_MANAGEMENT.md, GO2_DEFAULT_VS_PILOT_ANALYSIS_260901.md, GO2_OPUS_REAUDIT_INDEPENDENT_260907.md, GO2_PROJECT_STATE.md, GO2_REFERENCE_COMPASS.md",,,ARTIFACT_MANAGEMENT.md;GO2_DEFAULT_VS_PILOT_ANALYSIS_260901.md;GO2_OPUS_REAUDIT_INDEPENDENT_260907.md;GO2_PROJECT_STATE.md;GO2_REFERENCE_COMPASS.md
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_defect_ledger,YES,1,"인용 문서: GO2_ANG_VEL_RELAX_AUDIT_20260920.md, GO2_DEFECT_LEDGER.md, GO2_REFERENCE_COMPASS.md, go2-auditor.md",go2_claim_check.py;go2_defect_ledger.py;go2_pm_brief.py,test_go2_claim_check_contract.py;test_go2_defect_ledger_contract.py;test_go2_plan_assessment_contract.py;test_go2_pm_brief_contract.py,GO2_ANG_VEL_RELAX_AUDIT_20260920.md;GO2_DEFECT_LEDGER.md;GO2_REFERENCE_COMPASS.md;go2-auditor.md;go2_claim_check.py;go2_defect_ledger.py;go2_pm_brief.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_defect_ledger/DEFECTS.csv,YES,28851,"열: section,id,found_on,found_by,confidence,severity,status,where,what,repro,repro_expect,verbatim,source_checked,origin_fix",go2_claim_check.py;go2_defect_ledger.py,test_go2_plan_assessment_contract.py,GO2_DEFECT_LEDGER.md;GO2_REFERENCE_COMPASS.md;go2_claim_check.py;go2_defect_ledger.py
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_fact_rules_20260917,YES,2,"인용 문서: GO2_A038_REREAD_20260919.md, GO2_NOW.md, GO2_REFERENCE_COMPASS.md, GO2_ROLE_SITUATION_EXAM.md, GO2_SEED_SENSITIVITY.md, GO2_TUNING_POLICY_READOUT_20260918.md, README.md, go2-analyst.md, go2-auditor.md",go2_claim_check.py;go2_fact_rules_spec.py;go2_role_situation_exam.py;go2_seed_sensitivity.py,,GO2_A038_REREAD_20260919.md;GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_SITUATION_EXAM.md;GO2_SEED_SENSITIVITY.md;GO2_TUNING_POLICY_READOUT_20260918.md;README.md;go2-analyst.md;go2-auditor.md;go2_cla
증거 CSV,이득구간,workspace/training/quadruped/reports/evidence/go2_fact_rules_20260917/CLIMB_GUARD.csv,YES,265,계단 오른 로봇 수 하한(묶음별 baseline_sum·max_drop),go2_claim_check.py;go2_fact_rules_spec.py;go2_reference_compass.py;go2_role_situation_exam.py,,GO2_A038_REREAD_20260919.md;GO2_NOW.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_SITUATION_EXAM.md;GO2_TUNING_POLICY_READOUT_20260918.md;README.md;go2-analyst.md;go2-auditor.md;go2_claim_check.py;go2_fact_rul
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_fact_rules_20260917/TARGET_GROUP_FLOOR.csv,YES,2095,"열: spec,group,case,n,survival,tracking,proxy,floor",go2_fact_rules_spec.py,,GO2_REFERENCE_COMPASS.md;go2_fact_rules_spec.py
증거 CSV,문서,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917,YES,10,"인용 문서: GO2_G_A038_READOUT.md, GO2_REFERENCE_COMPASS.md, GO2_ROLE_REGRESSION_CASES.md, GO2_TUNING_POLICY_READOUT_20260918.md, go2-auditor.md",go2_claim_check.py;go2_g_a038_readout.py;go2_reward_mechanism.py;go2_role_regression.py,,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_REGRESSION_CASES.md;GO2_TUNING_POLICY_READOUT_20260918.md;go2-auditor.md;go2_claim_check.py;go2_g_a038_readout.py;go2_reward_mechanism.py;go2_ro
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/CURRICULUM_LAG.csv,YES,192,"열: iteration,g_a033_terrain,g_a038_terrain,delta,is_eval_checkpoint",go2_claim_check.py;go2_g_a038_readout.py;go2_role_regression.py,test_go2_g_a038_readout_contract.py,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;GO2_ROLE_REGRESSION_CASES.md;GO2_TUNING_POLICY_READOUT_20260918.md;go2_claim_check.py;go2_g_a038_readout.py;go2_role_regression.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/FINGERPRINT.csv,YES,1890,"열: check,expected,observed,ok",go2_g_a038_readout.py,test_go2_g_a038_readout_contract.py,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;go2_g_a038_readout.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/FLAT_NOMINAL.csv,YES,302,"열: arm,case,survival_proxy,tracking_proxy,scenario_proxy,tracking_xy_rmse,speed_xy_mean,height_rel_mean,posture_falls,termi",go2_g_a038_readout.py;go2_reward_mechanism.py,test_go2_g_a038_readout_contract.py,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;go2_g_a038_readout.py;go2_reward_mechanism.py
증거 CSV,예측,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/FORECAST_CHECK.csv,YES,215,예측 방향과 관측 방향의 사후 대조표,go2_claim_check.py;go2_g_a038_readout.py;go2_reference_compass.py;go2_reward_mechanism.py,test_go2_g_a038_readout_contract.py,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;go2_claim_check.py;go2_g_a038_readout.py;go2_reference_compass.py;go2_reward_mechanism.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/GUARD_BOUNDS.csv,YES,455,"열: scenario,g_a033_scenario_proxy,g_a033_worst_case,weight,g_a038_measured_cases,g_a038_scenario_proxy_upper_bound,loss_low",go2_claim_check.py;go2_g_a038_readout.py,test_go2_g_a038_readout_contract.py,GO2_G_A038_READOUT.md;GO2_REFERENCE_COMPASS.md;go2_claim_check.py;go2_g_a038_readout.py
증거 CSV,측정,workspace/training/quadruped/reports/evidence/go2_g_a038_readout_20260917/REPORT_VALUES.csv,YES,6027,"열: key,shown",go2_claim_check.py;go2_g_a038_readout.py,test_go2_claim_check_contract.py;test_go2_g_a038_readout_contract.py,GO2_REFERENCE_COMPASS.md;go2_claim_check.py;go2_g_a038_readout.py
